field,name
_id1,_id
AREA_NA2,AREA_NAME
HOOD_ID3,HOOD_ID
POPN_PR4,POPN_PROJ_2022
ASSAULT5,ASSAULT_2014
ASSAULT6,ASSAULT_2015
ASSAULT7,ASSAULT_2016
ASSAULT8,ASSAULT_2017
ASSAULT9,ASSAULT_2018
ASSAULT10,ASSAULT_2019
ASSAULT11,ASSAULT_2020
ASSAULT12,ASSAULT_2021
ASSAULT13,ASSAULT_2022
ASSAULT14,ASSAULT_RATE_2014
ASSAULT15,ASSAULT_RATE_2015
ASSAULT16,ASSAULT_RATE_2016
ASSAULT17,ASSAULT_RATE_2017
ASSAULT18,ASSAULT_RATE_2018
ASSAULT19,ASSAULT_RATE_2019
ASSAULT20,ASSAULT_RATE_2020
ASSAULT21,ASSAULT_RATE_2021
ASSAULT22,ASSAULT_RATE_2022
AUTOTHE23,AUTOTHEFT_2014
AUTOTHE24,AUTOTHEFT_2015
AUTOTHE25,AUTOTHEFT_2016
AUTOTHE26,AUTOTHEFT_2017
AUTOTHE27,AUTOTHEFT_2018
AUTOTHE28,AUTOTHEFT_2019
AUTOTHE29,AUTOTHEFT_2020
AUTOTHE30,AUTOTHEFT_2021
AUTOTHE31,AUTOTHEFT_2022
AUTOTHE32,AUTOTHEFT_RATE_2014
AUTOTHE33,AUTOTHEFT_RATE_2015
AUTOTHE34,AUTOTHEFT_RATE_2016
AUTOTHE35,AUTOTHEFT_RATE_2017
AUTOTHE36,AUTOTHEFT_RATE_2018
AUTOTHE37,AUTOTHEFT_RATE_2019
AUTOTHE38,AUTOTHEFT_RATE_2020
AUTOTHE39,AUTOTHEFT_RATE_2021
AUTOTHE40,AUTOTHEFT_RATE_2022
BIKETHE41,BIKETHEFT_2014
BIKETHE42,BIKETHEFT_2015
BIKETHE43,BIKETHEFT_2016
BIKETHE44,BIKETHEFT_2017
BIKETHE45,BIKETHEFT_2018
BIKETHE46,BIKETHEFT_2019
BIKETHE47,BIKETHEFT_2020
BIKETHE48,BIKETHEFT_2021
BIKETHE49,BIKETHEFT_2022
BIKETHE50,BIKETHEFT_RATE_2014
BIKETHE51,BIKETHEFT_RATE_2015
BIKETHE52,BIKETHEFT_RATE_2016
BIKETHE53,BIKETHEFT_RATE_2017
BIKETHE54,BIKETHEFT_RATE_2018
BIKETHE55,BIKETHEFT_RATE_2019
BIKETHE56,BIKETHEFT_RATE_2020
BIKETHE57,BIKETHEFT_RATE_2021
BIKETHE58,BIKETHEFT_RATE_2022
BREAKEN59,BREAKENTER_2014
BREAKEN60,BREAKENTER_2015
BREAKEN61,BREAKENTER_2016
BREAKEN62,BREAKENTER_2017
BREAKEN63,BREAKENTER_2018
BREAKEN64,BREAKENTER_2019
BREAKEN65,BREAKENTER_2020
BREAKEN66,BREAKENTER_2021
BREAKEN67,BREAKENTER_2022
BREAKEN68,BREAKENTER_RATE_2014
BREAKEN69,BREAKENTER_RATE_2015
BREAKEN70,BREAKENTER_RATE_2016
BREAKEN71,BREAKENTER_RATE_2017
BREAKEN72,BREAKENTER_RATE_2018
BREAKEN73,BREAKENTER_RATE_2019
BREAKEN74,BREAKENTER_RATE_2020
BREAKEN75,BREAKENTER_RATE_2021
BREAKEN76,BREAKENTER_RATE_2022
HOMICID77,HOMICIDE_2014
HOMICID78,HOMICIDE_2015
HOMICID79,HOMICIDE_2016
HOMICID80,HOMICIDE_2017
HOMICID81,HOMICIDE_2018
HOMICID82,HOMICIDE_2019
HOMICID83,HOMICIDE_2020
HOMICID84,HOMICIDE_2021
HOMICID85,HOMICIDE_2022
HOMICID86,HOMICIDE_RATE_2014
HOMICID87,HOMICIDE_RATE_2015
HOMICID88,HOMICIDE_RATE_2016
HOMICID89,HOMICIDE_RATE_2017
HOMICID90,HOMICIDE_RATE_2018
HOMICID91,HOMICIDE_RATE_2019
HOMICID92,HOMICIDE_RATE_2020
HOMICID93,HOMICIDE_RATE_2021
HOMICID94,HOMICIDE_RATE_2022
ROBBERY95,ROBBERY_2014
ROBBERY96,ROBBERY_2015
ROBBERY97,ROBBERY_2016
ROBBERY98,ROBBERY_2017
ROBBERY99,ROBBERY_2018
ROBBERY100,ROBBERY_2019
ROBBERY101,ROBBERY_2020
ROBBERY102,ROBBERY_2021
ROBBERY103,ROBBERY_2022
ROBBERY104,ROBBERY_RATE_2014
ROBBERY105,ROBBERY_RATE_2015
ROBBERY106,ROBBERY_RATE_2016
ROBBERY107,ROBBERY_RATE_2017
ROBBERY108,ROBBERY_RATE_2018
ROBBERY109,ROBBERY_RATE_2019
ROBBERY110,ROBBERY_RATE_2020
ROBBERY111,ROBBERY_RATE_2021
ROBBERY112,ROBBERY_RATE_2022
SHOOTIN113,SHOOTING_2014
SHOOTIN114,SHOOTING_2015
SHOOTIN115,SHOOTING_2016
SHOOTIN116,SHOOTING_2017
SHOOTIN117,SHOOTING_2018
SHOOTIN118,SHOOTING_2019
SHOOTIN119,SHOOTING_2020
SHOOTIN120,SHOOTING_2021
SHOOTIN121,SHOOTING_2022
SHOOTIN122,SHOOTING_RATE_2014
SHOOTIN123,SHOOTING_RATE_2015
SHOOTIN124,SHOOTING_RATE_2016
SHOOTIN125,SHOOTING_RATE_2017
SHOOTIN126,SHOOTING_RATE_2018
SHOOTIN127,SHOOTING_RATE_2019
SHOOTIN128,SHOOTING_RATE_2020
SHOOTIN129,SHOOTING_RATE_2021
SHOOTIN130,SHOOTING_RATE_2022
THEFTFR131,THEFTFROMMV_2014
THEFTFR132,THEFTFROMMV_2015
THEFTFR133,THEFTFROMMV_2016
THEFTFR134,THEFTFROMMV_2017
THEFTFR135,THEFTFROMMV_2018
THEFTFR136,THEFTFROMMV_2019
THEFTFR137,THEFTFROMMV_2020
THEFTFR138,THEFTFROMMV_2021
THEFTFR139,THEFTFROMMV_2022
THEFTFR140,THEFTFROMMV_RATE_2014
THEFTFR141,THEFTFROMMV_RATE_2015
THEFTFR142,THEFTFROMMV_RATE_2016
THEFTFR143,THEFTFROMMV_RATE_2017
THEFTFR144,THEFTFROMMV_RATE_2018
THEFTFR145,THEFTFROMMV_RATE_2019
THEFTFR146,THEFTFROMMV_RATE_2020
THEFTFR147,THEFTFROMMV_RATE_2021
THEFTFR148,THEFTFROMMV_RATE_2022
THEFTOV149,THEFTOVER_2014
THEFTOV150,THEFTOVER_2015
THEFTOV151,THEFTOVER_2016
THEFTOV152,THEFTOVER_2017
THEFTOV153,THEFTOVER_2018
THEFTOV154,THEFTOVER_2019
THEFTOV155,THEFTOVER_2020
THEFTOV156,THEFTOVER_2021
THEFTOV157,THEFTOVER_2022
THEFTOV158,THEFTOVER_RATE_2014
THEFTOV159,THEFTOVER_RATE_2015
THEFTOV160,THEFTOVER_RATE_2016
THEFTOV161,THEFTOVER_RATE_2017
THEFTOV162,THEFTOVER_RATE_2018
THEFTOV163,THEFTOVER_RATE_2019
THEFTOV164,THEFTOVER_RATE_2020
THEFTOV165,THEFTOVER_RATE_2021
THEFTOV166,THEFTOVER_RATE_2022
